x,y
9.07,1.66
13.07392717,1.708188111
16.53889679,1.708188111
9.21,-1.84
13.07392717,-1.837362192
16.53889679,-1.837362192
0.580593395,-1.935419872
6.21,1.64
6.12,-1.86
4.21,1.69
4.12,-1.81
20.39527148,-1.866670653
20.48305392,11.10492402
26.79146729,4.936887102
23.64021357,-0.949417025
25.78068779,1.04241316
26.61309444,3.12342977
26.46445039,6.780073243
23.63430764,10.24278856
25.56668021,8.518517656
16.70749521,11.22383925
13.02112293,11.25356806
9.007733749,11.25356806
4.435740255,11.24559702
20.11211271,1.662608432
22.1336717,2.280967654
23.34660709,4.706838446
22.98986139,3.422553909
22.96607834,6.062472123
20.27859403,7.632153224
16.65130776,7.564520184
13.01250157,7.540737137
9.040732727,7.493171043
22.02895197,7.180721264
4.383222457,7.597835031
0.197406188,7.597835031
-3.98841008,7.645401124
0.180163479,11.22214842
-3.986626351,11.20312199
20.26322523,16.49393455
20.29686169,27.54642447
-8.0463502,7.599260155
-8.0676366,11.21192904
-11.12483661,8.425952213
-13.05071919,10.25047255
-13.92919194,12.54801668
-13.810936,15.13275382
-12.71284505,17.24446718
-10.78696247,18.88315674
-8.540099467,19.5420113
-9.942277134,12.04120547
-10.56734429,13.49406426
-10.14500162,14.99760417
-8.827292483,16.0619077
-6.141193098,16.12948253
-6.208767925,19.57579872
20.26322523,19.56251802
-4.1364471,19.60685575
-1.298832281,19.67284679
2.000719833,19.67284679
5.432254032,19.63985127
9.09475688,19.67284679
13.31818359,19.63985127
16.55999354,19.62335351
-4.069756552,16.23674602
-1.326218564,16.30432084
2.011977905,16.33135077
5.51235396,16.38541064
9.093819807,16.37189567
13.37806386,16.41244057
16.63517053,16.45298546
20.24336599,24.48707369
22.15181042,20.4142748
22.69240903,21.61710672
22.59780428,22.84696858
21.90854104,23.90113588
22.83769491,17.11324448
24.47638448,18.44784732
25.70962507,22.97536075
24.84804603,25.0870741
23.24314388,26.67508255
25.54474019,20.47462624
-8.3176351,24.48887405
-8.345290894,27.56160031
15.91725868,27.60516232
11.96308058,27.62333713
3.948341991,27.62850413
-0.844466057,27.63815784
-4.704942031,27.67115336
15.85126764,24.53657885
11.84030816,24.51310245
4.187493876,24.49264038
-0.844466057,24.50358333
-4.704942031,24.50358333
-8.433716306,34.54961951
-8.383035186,31.45807116
-10.76504785,25.08914369
-12.3868437,26.54200248
-13.33289129,28.55235359
-13.21463534,30.88368513
-12.1334381,32.92782366
-10.47785483,34.12727684
-9.683850611,28.19758575
-10.24134294,29.51529488
-9.650063198,30.90057884
20.37437093,31.52663343
-4.74231194,31.51515468
-0.848840444,31.48215916
3.937865411,31.47340898
12.14324272,31.54510072
15.9128843,31.58114572
-4.713244659,34.5659874
-0.799530663,34.58250096
4.268862578,34.51306007
12.19439789,34.46094573
15.94483811,34.5986741
20.38870843,34.55570996
24.96032258,35.9715093
21.68663809,35.34257485
21.50924632,37.0842395
20.05785911,37.56803524
22.88000091,32.21402908
24.44427379,33.95569373
24.52490642,37.92281878
22.78324176,39.93863435
20.23525088,40.63207491
-21.20278441,41.5948547
17.58914337,37.47268919
15.04115249,37.44043614
11.31592531,37.40818309
7.106902397,37.40818309
17.10534763,40.74637367
14.13806711,40.79475325
9.316236264,40.92376544
4.89756853,40.97214502
3.043001826,37.37569876
-1.311143432,37.27917089
0.059611157,41.03665112
-4.649334019,41.19791636
-6.261986476,37.16628522
-10.03559323,37.13403217
-12.9706207,37.13403217
-14.59939968,37.10177912
-15.93790122,37.05339955
-17.14739056,37.0856526
-18.6149043,37.0856526
-20.37269548,37.06952607
-21.80795617,36.85988125
-23.50124125,36.11806112
-24.69460407,34.90857178
-25.1783998,33.74746201
-25.40417115,32.1670626
-24.82361626,29.87709611
-8.568079491,41.24629594
-12.06753532,41.32692856
-15.97015427,41.42368771
-18.59877778,41.50432033
-23.39503296,41.26116258
-25.24958329,40.63625975
-26.86223575,39.62835196
-28.25314849,38.21728106
-29.36184706,36.66510307
-30.16817329,34.91134352
-30.51086193,32.65363008
-30.16817329,30.01291168
-29.08057779,26.5642922
-27.8912466,22.95598233
-26.78254804,19.73067741
-25.57056952,15.80437947
-24.08135517,27.67299076
-22.86134579,24.18716531
-21.73057428,20.93924009
-19.32087482,13.61547904
-24.46836438,11.92096384
-23.26650482,8.64761188
-22.21828072,5.523097744
-21.43211265,2.842063033
-20.58547011,0.423084347
-19.15424105,-1.108935488
-17.60206306,-1.99589434
-15.52577302,-2.116843274
-12.17951918,-2.056368807
-8.873581637,-1.99589434
-5.749067501,-1.975736184
-2.664869676,-1.975736184
-17.94727148,9.875999494
-16.89100398,6.773474287
-16.06034278,4.593482925
-15.34560951,3.0675824
-14.0756457,2.684577442
-12.10014644,2.543470352
-9.902907464,2.442679573
-6.778393327,2.301572483
-3.210399765,2.160465393
0.43822642,1.918567524
18.35817733,27.59721186
18.39515966,24.52204753
8.218521721,24.45171624
8.238983791,27.6437992
7.952035227,31.54605988
7.952035227,34.53352214
-20.5573623,17.54365544
