x,y
5.063386911,1.874639691
4.77960246,1.875167785
4.945428498,-1.87552828
4.666369199,-1.874279197
6.843598889,-1.88249398
8.533943488,-2.005628794
10.22791356,-2.011649392
11.88218088,-2.277261996
13.51524801,-2.408923846
15.82459183,-2.598366724
18.17034059,-2.049460298
19.77510984,-0.593818518
20.90807151,1.189158221
21.11731063,2.900182974
20.89581224,4.538752391
20.15901965,5.683237095
19.01632976,7.304280823
17.88461204,8.41117417
16.88567277,9.535694751
15.6950894,11.20491375
14.89856151,12.49885297
14.25265701,13.88213054
13.63212615,15.11867915
12.68978446,16.94189931
11.62221418,18.51509589
10.41009457,19.84293
8.945934041,20.14804871
7.486028874,19.85503409
5.893838641,19.47299077
4.944536473,18.79914292
3.1185829,18.56255474
1.871594046,19.40800767
0.346464343,20.8479649
-1.929715573,22.3084551
-4.365418612,22.82167196
-6.589780217,22.61282276
-8.837380631,21.91014623
-10.98135309,20.65220611
-12.34588246,18.92038569
-13.54301934,17.01769163
-14.32068393,14.77225541
-14.70681314,12.33885508
-14.9433459,9.454277531
-15.11296112,7.028100181
-15.28041283,5.085823064
-14.87386767,1.351001153
-14.16295989,0.31275586
-13.05480939,-0.311497455
-11.17913951,-1.093326729
-8.547895432,-1.314865968
-6.011721787,-1.229846283
-3.75451428,-1.576805456
-1.429197813,-1.716843435
0.489366163,-1.743962424
2.67126633,-1.744408268
7.58077016,1.672159144
10.60090518,1.552044188
12.4062275,1.424671924
14.12181423,1.167803673
15.8115629,1.272153739
16.8728708,1.92552665
16.84410174,3.156289831
16.1753147,4.643067502
15.25352157,5.713880836
14.36008206,6.69531549
13.3502598,7.998627092
12.40027487,9.487857471
11.73400415,10.93106833
11.41832004,12.22160223
10.84912391,13.50396581
10.16490017,14.94396619
8.980711372,15.92430039
7.979747108,15.96580019
6.672560417,15.46706961
4.950269621,14.95521006
3.252455566,14.43742248
1.810768848,14.64226058
0.335498217,15.1508246
-1.164736449,16.0536045
-2.101789981,17.63025093
-3.555968594,18.67715139
-5.564924129,18.96597019
-7.506309784,18.40452845
-8.928494833,17.12025915
-9.528195809,15.40783381
-9.603797031,13.58060143
-9.83309212,11.000228
-10.11396045,8.677890357
-10.30029964,6.404373253
-10.42678114,4.057466229
-10.34904736,2.877284445
-8.445408241,2.721486322
-7.195248649,2.682269976
-5.94502749,2.565359126
-4.509214819,2.380480232
-3.057041906,2.187397022
-1.392483911,2.190402524
0.755258096,2.12303305
2.487898066,2.024171578

